"municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"Cella","No_Lowcost",1.389,1.389,1.389,1.589,1.589,1.589
"Cercs","Lowcost",1.299,1.299,1.299,1.409,1.409,1.409
"Cerdanyola del Vallès","No_Lowcost",1.415,1.415,1.415,1.619,1.619,1.619
"Ceuta","No_Lowcost",1.125,1.125,1.125,1.259,1.259,1.259
"Ceutí","Lowcost",1.289,1.289,1.289,1.459,1.459,1.459
"Chiclana de la Frontera","No_Lowcost",1.379,1.359,1.369,1.569,1.519,1.5465
"Chillarón de Cuenca","No_Lowcost",1.409,1.409,1.409,1.644,1.644,1.644
"Chipiona","No_Lowcost",1.369,1.369,1.369,1.519,1.519,1.519
"Chiva","No_Lowcost",1.389,1.389,1.389,1.549,1.549,1.549
"Churriana de la Vega","No_Lowcost",1.369,1.369,1.369,1.569,1.569,1.569
"Cifuentes","No_Lowcost",1.385,1.385,1.385,1.574,1.574,1.574
"Cintruénigo","No_Lowcost",1.399,1.399,1.399,1.589,1.589,1.589
"Cistérniga","No_Lowcost",1.389,1.389,1.389,1.579,1.579,1.579
"Ciudad Real","No_Lowcost",1.379,1.359,1.369,1.539,1.519,1.529
"Collado Villalba","No_Lowcost",1.429,1.429,1.429,1.634,1.634,1.634
"Congosto","No_Lowcost",1.419,1.419,1.419,1.579,1.579,1.579
"Consuegra","No_Lowcost",1.409,1.409,1.409,1.589,1.589,1.589
"Córdoba","No_Lowcost",1.399,1.379,1.385,1.589,1.539,1.56536363636364
"Cornellà de Llobregat","No_Lowcost",1.419,1.419,1.419,1.619,1.619,1.619
"Coruña (A)","No_Lowcost",1.415,1.405,1.40866666666667,1.619,1.559,1.59316666666667
"Corvera de Asturias","No_Lowcost",1.385,1.379,1.382,1.559,1.509,1.534
"Coslada","No_Lowcost",1.419,1.419,1.419,1.619,1.619,1.619
"Crevillent","No_Lowcost",1.419,1.419,1.419,1.569,1.569,1.569
"Cuenca","No_Lowcost",1.409,1.409,1.409,1.584,1.559,1.5715
"Cuevas del Almanzora","No_Lowcost",1.349,1.349,1.349,1.509,1.509,1.509
"Darro","No_Lowcost",1.399,1.399,1.399,1.599,1.599,1.599
"Dénia","No_Lowcost",1.409,1.409,1.409,1.569,1.569,1.569
"Doneztebe/Santesteban","No_Lowcost",1.399,1.399,1.399,1.589,1.589,1.589
"Donostia-San Sebastián","No_Lowcost",1.449,1.379,1.42566666666667,1.629,1.579,1.61233333333333
"Doña Mencía","No_Lowcost",1.379,1.379,1.379,1.559,1.559,1.559
"Écija","No_Lowcost",1.359,1.359,1.359,1.599,1.599,1.599
"Ejido (El)","Lowcost",1.294,1.213,1.267,1.426,1.35,1.40066666666667
"Elche/Elx","Lowcost",1.395,1.395,1.395,1.569,1.569,1.569
"Elche/Elx","No_Lowcost",1.419,1.399,1.409,1.579,1.559,1.569
"Elda","No_Lowcost",1.39,1.389,1.3895,1.584,1.549,1.5665
"Eliana (l')","No_Lowcost",1.369,1.369,1.369,1.559,1.559,1.559
"Elorrio","No_Lowcost",1.425,1.425,1.425,1.609,1.609,1.609
"Épila","No_Lowcost",1.389,1.389,1.389,1.629,1.629,1.629
"Escalona","No_Lowcost",1.405,1.405,1.405,1.579,1.579,1.579
"Esparreguera","No_Lowcost",1.429,1.429,1.429,1.589,1.589,1.589
"Estepona","No_Lowcost",1.409,1.399,1.40233333333333,1.599,1.579,1.589
"Etxebarri, Anteiglesia de San Esteban-Etxebarri Doneztebeko","No_Lowcost",1.429,1.429,1.429,1.599,1.599,1.599
"Fene","No_Lowcost",1.425,1.425,1.425,1.569,1.569,1.569
"Fermoselle","No_Lowcost",1.35,1.35,1.35,1.569,1.569,1.569
"Ferrol","No_Lowcost",1.409,1.409,1.409,1.569,1.569,1.569
"Fogars de la Selva","No_Lowcost",1.425,1.425,1.425,1.629,1.629,1.629
"Formentera del Segura","Lowcost",1.289,1.289,1.289,1.489,1.489,1.489
